measure,market,period,value
cape,Australia,2025-08,22.0
cape,Brazil,2025-08,13.4
cape,Canada,2025-08,24.1
cape,China,2025-08,17.2
cape,France,2025-08,20.2
cape,Germany,2025-08,24.1
cape,Hong Kong,2025-08,10.6
cape,India,2025-08,33.9
cape,Indonesia,2025-08,21.3
cape,Italy,2025-08,20.5
cape,Japan,2025-08,26.0
cape,Malaysia,2025-08,15.5
cape,Mexico,2025-08,17.1
cape,Netherlands,2025-08,21.8
cape,Philippines,2025-08,12.5
cape,Poland,2025-08,15.5
cape,Saudi Arabia,2025-08,19.9
cape,Singapore,2025-08,16.5
cape,South Africa,2025-08,19.2
cape,South Korea,2025-08,16.3
cape,Spain,2025-08,21.0
cape,Sweden,2025-08,18.7
cape,Switzerland,2025-08,21.6
cape,Taiwan,2025-08,26.1
cape,Thailand,2025-08,13.7
cape,Turkey,2025-08,8.4
cape,United Kingdom,2025-08,19.2
cape,United States,2025-08,33.7
cape,Australia,2026-08,20.8
cape,Brazil,2026-08,14.3
cape,Canada,2026-08,28.0
cape,China,2026-08,17.8
cape,France,2026-08,20.5
cape,Germany,2026-08,24.0
cape,Hong Kong,2026-08,10.6
cape,India,2026-08,29.8
cape,Indonesia,2026-08,16.2
cape,Italy,2026-08,21.6
cape,Japan,2026-08,35.6
cape,Malaysia,2026-08,16.7
cape,Mexico,2026-08,17.9
cape,Netherlands,2026-08,24.1
cape,Philippines,2026-08,11.1
cape,Poland,2026-08,19.9
cape,Saudi Arabia,2026-08,20.0
cape,Singapore,2026-08,21.6
cape,South Africa,2026-08,19.6
cape,South Korea,2026-08,32.2
cape,Spain,2026-08,25.5
cape,Sweden,2026-08,22.2
cape,Switzerland,2026-08,24.1
cape,Taiwan,2026-08,45.3
cape,Thailand,2026-08,17.2
cape,Turkey,2026-08,8.3
cape,United Kingdom,2026-08,20.3
cape,United States,2026-08,36.4
dy,Australia,2025-06,0.0329
dy,Canada,2025-06,0.026099999999999998
dy,China,2025-06,0.0252
dy,France,2025-06,0.024900000000000002
dy,Germany,2025-06,0.024900000000000002
dy,Hong Kong,2025-06,0.0335
dy,India,2025-06,0.011699999999999999
dy,Indonesia,2025-06,0.0548
dy,Italy,2025-06,0.042699999999999995
dy,Japan,2025-06,0.0242
dy,Malaysia,2025-06,0.0425
dy,Netherlands,2025-06,0.0279
dy,Singapore,2025-06,0.0483
dy,South Africa,2025-06,0.031
dy,South Korea,2025-06,0.020499999999999997
dy,Spain,2025-06,0.039599999999999996
dy,Sweden,2025-06,0.0302
dy,Taiwan,2025-06,0.027200000000000002
dy,Thailand,2025-06,0.0478
dy,United Kingdom,2025-06,0.035
dy,United States,2025-06,0.0126
dy,Australia,2026-06,0.0333
dy,Canada,2026-06,0.0209
dy,China,2026-06,0.022400000000000003
dy,France,2026-06,0.0297
dy,Germany,2026-06,0.0259
dy,Hong Kong,2026-06,0.0327
dy,India,2026-06,0.0123
dy,Indonesia,2026-06,0.0814
dy,Italy,2026-06,0.038599999999999995
dy,Japan,2026-06,0.0196
dy,Malaysia,2026-06,0.0401
dy,Netherlands,2026-06,0.022000000000000002
dy,Singapore,2026-06,0.0462
dy,South Africa,2026-06,0.0348
dy,South Korea,2026-06,0.006999999999999999
dy,Spain,2026-06,0.0323
dy,Sweden,2026-06,0.0241
dy,Taiwan,2026-06,0.0134
dy,Thailand,2026-06,0.0362
dy,United Kingdom,2026-06,0.0304
dy,United States,2026-06,0.011200000000000002
